id,creature_id,name,text,sort_order,kind
22,4,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
23,4,Lightning Breath {@recharge 5},"The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.",5,action
24,4,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
25,4,Tail Attack,The dragon makes a tail attack.,1,legendary
26,4,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
27,5,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
28,5,Bite,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. 17 (2d10 + 6) piercing damage.",1,action
29,5,Claw,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. 13 (2d6 + 6) slashing damage.",2,action
30,5,Tail,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. 15 (2d8 + 6) bludgeoning damage.",3,action
31,5,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
32,5,Breath Weapons {@recharge 5},"The dragon uses one of the following breath weapons.
- Fire Breath: 
- Sleep Breath: ",5,action
33,5,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
34,5,Tail Attack,The dragon makes a tail attack.,1,legendary
35,5,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
36,6,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
37,6,Bite,"Melee Weapon Attack: +12 to hit, reach 10 ft., one target. 18 (2d10 + 7) piercing damage.",1,action
38,6,Claw,"Melee Weapon Attack: +12 to hit, reach 5 ft., one target. 14 (2d6 + 7) slashing damage.",2,action
39,6,Tail,"Melee Weapon Attack: +12 to hit, reach 15 ft., one target. 16 (2d8 + 7) bludgeoning damage.",3,action
40,6,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
41,6,Breath Weapons {@recharge 5},"The dragon uses one of the following breath weapons.
- Lightning Breath: 
- Repulsion Breath: ",5,action
42,6,Change Shape,"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.",6,action
43,6,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
44,6,Tail Attack,The dragon makes a tail attack.,1,legendary
45,6,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
46,7,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
47,7,Bite,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. 17 (2d10 + 6) piercing damage.",1,action
48,7,Claw,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. 13 (2d6 + 6) slashing damage.",2,action
49,7,Tail,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. 15 (2d8 + 6) bludgeoning damage.",3,action
50,7,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
51,7,Breath Weapons {@recharge 5},"The dragon uses one of the following breath weapons.
- Acid Breath: 
- Slowing Breath: ",5,action
52,7,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
53,7,Tail Attack,The dragon makes a tail attack.,1,legendary
54,7,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
55,8,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
56,8,Bite,"Melee Weapon Attack: +14 to hit, reach 10 ft., one target. 19 (2d10 + 8) piercing damage.",1,action
57,8,Claw,"Melee Weapon Attack: +14 to hit, reach 5 ft., one target. 15 (2d6 + 8) slashing damage.",2,action
58,8,Tail,"Melee Weapon Attack: +14 to hit, reach 15 ft., one target. 17 (2d8 + 8) bludgeoning damage.",3,action
59,8,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
60,8,Breath Weapons {@recharge 5},"The dragon uses one of the following breath weapons.
- Fire Breath: 
- Weakening Breath: ",5,action
61,8,Change Shape,"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.",6,action
62,8,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
63,8,Tail Attack,The dragon makes a tail attack.,1,legendary
64,8,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
65,9,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
66,9,Bite,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. 17 (2d10 + 6) piercing damage plus 7 (2d6) poison damage.",1,action
67,9,Claw,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. 13 (2d6 + 6) slashing damage.",2,action
68,9,Tail,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. 15 (2d8 + 6) bludgeoning damage.",3,action
69,9,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
70,9,Poison Breath {@recharge 5},"The dragon exhales poisonous gas in a 60-foot cone. Each creature in that area must make a DC 18 Constitution saving throw, taking 56 (16d6) poison damage on a failed save, or half as much damage on a successful one.",5,action
71,9,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
72,9,Tail Attack,The dragon makes a tail attack.,1,legendary
73,9,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
74,10,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
75,10,Bite,"Melee Weapon Attack: +14 to hit, reach 10 ft., one target. 19 (2d10 + 8) piercing damage plus 7 (2d6) fire damage.",1,action
76,10,Claw,"Melee Weapon Attack: +14 to hit, reach 5 ft., one target. 15 (2d6 + 8) slashing damage.",2,action
77,10,Tail,"Melee Weapon Attack: +14 to hit, reach 15 ft., one target. 17 (2d8 + 8) bludgeoning damage.",3,action
78,10,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
79,10,Fire Breath {@recharge 5},"The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 63 (18d6) fire damage on a failed save, or half as much damage on a successful one.",5,action
80,10,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
81,10,Tail Attack,The dragon makes a tail attack.,1,legendary
82,10,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
83,11,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
84,11,Bite,"Melee Weapon Attack: +13 to hit, reach 10 ft., one target. 19 (2d10 + 8) piercing damage.",1,action
85,11,Claw,"Melee Weapon Attack: +13 to hit, reach 5 ft., one target. 15 (2d6 + 8) slashing damage.",2,action
86,11,Tail,"Melee Weapon Attack: +13 to hit, reach 15 ft., one target. 17 (2d8 + 8) bludgeoning damage.",3,action
87,11,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
88,11,Breath Weapons {@recharge 5},"The dragon uses one of the following breath weapons.
- Cold Breath: 
- Paralyzing Breath: ",5,action
89,11,Change Shape,"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.",6,action
90,11,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
91,11,Tail Attack,The dragon makes a tail attack.,1,legendary
92,11,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
93,12,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
94,12,Bite,"Melee Weapon Attack: +11 to hit, reach 10 ft., one target. 17 (2d10 + 6) piercing damage plus 4 (1d8) cold damage.",1,action
95,12,Claw,"Melee Weapon Attack: +11 to hit, reach 5 ft., one target. 13 (2d6 + 6) slashing damage.",2,action
96,12,Tail,"Melee Weapon Attack: +11 to hit, reach 15 ft., one target. 15 (2d8 + 6) bludgeoning damage.",3,action
97,12,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 14 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
98,12,Cold Breath {@recharge 5},"The dragon exhales an icy blast in a 60-foot cone. Each creature in that area must make a DC 19 Constitution saving throw, taking 54 (12d8) cold damage on a failed save, or half as much damage on a successful one.",5,action
99,12,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
100,12,Tail Attack,The dragon makes a tail attack.,1,legendary
101,12,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
102,13,Multiattack,The elemental makes two slam attacks.,0,action
103,13,Slam,"Melee Weapon Attack: +8 to hit, reach 5 ft., one target. 14 (2d8 + 5) bludgeoning damage.",1,action
104,13,Whirlwind {@recharge 4},"Each creature in the elemental's space must make a DC 13 Strength saving throw. On a failure, a target takes 15 (3d8 + 2) bludgeoning damage and is flung up 20 feet away from the elemental in a random direction and knocked prone. If a thrown target strikes an object, such as a wall or floor, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC 13 Dexterity saving throw or take the same damage and be knocked prone.
If the saving throw is successful, the target takes half the bludgeoning damage and isn't flung away or knocked prone.",2,action
105,14,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
106,14,Bite,"Melee Weapon Attack: +15 to hit, reach 15 ft., one target. 19 (2d10 + 8) piercing damage plus 9 (2d8) acid damage.",1,action
107,14,Claw,"Melee Weapon Attack: +15 to hit, reach 10 ft., one target. 15 (2d6 + 8) slashing damage.",2,action
108,14,Tail,"Melee Weapon Attack: +15 to hit, reach 20 ft., one target. 17 (2d8 + 8) bludgeoning damage.",3,action
109,14,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
110,14,Acid Breath {@recharge 5},"The dragon exhales acid in a 90-foot line that is 10 feet wide. Each creature in that line must make a DC 22 Dexterity saving throw, taking 67 (15d8) acid damage on a failed save, or half as much damage on a successful one.",5,action
111,14,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
112,14,Tail Attack,The dragon makes a tail attack.,1,legendary
113,14,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a DC 23 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
114,15,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
115,15,Bite,"Melee Weapon Attack: +16 to hit, reach 15 ft., one target. 20 (2d10 + 9) piercing damage plus 11 (2d10) lightning damage.",1,action
116,15,Claw,"Melee Weapon Attack: +16 to hit, reach 10 ft., one target. 16 (2d6 + 9) slashing damage.",2,action
117,15,Tail,"Melee Weapon Attack: +16 to hit, reach 20 ft., one target. 18 (2d8 + 9) bludgeoning damage.",3,action
118,15,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 20 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
119,15,Lightning Breath {@recharge 5},"The dragon exhales lightning in a 120-foot line that is 10 feet wide. Each creature in that line must make a DC 23 Dexterity saving throw, taking 88 (16d10) lightning damage on a failed save, or half as much damage on a successful one.",5,action
120,15,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
121,15,Tail Attack,The dragon makes a tail attack.,1,legendary
122,15,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a DC 24 Dexterity saving throw or take 16 (2d6 + 9) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
123,16,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
124,16,Bite,"Melee Weapon Attack: +14 to hit, reach 15 ft., one target. 19 (2d10 + 8) piercing damage.",1,action
125,16,Claw,"Melee Weapon Attack: +14 to hit, reach 10 ft., one target. 15 (2d6 + 8) slashing damage.",2,action
126,16,Tail,"Melee Weapon Attack: +14 to hit, reach 20 ft., one target. 17 (2d8 + 8) bludgeoning damage.",3,action
127,16,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
128,16,Breath Weapons {@recharge 5},"The dragon uses one of the following breath weapons:
- Fire Breath: 
- Sleep Breath: ",5,action
129,16,Change Shape,"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.",6,action
130,16,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
131,16,Tail Attack,The dragon makes a tail attack.,1,legendary
132,16,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
133,17,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
134,17,Bite,"Melee Weapon Attack: +16 to hit, reach 15 ft., one target. 20 (2d10 + 9) piercing damage.",1,action
135,17,Claw,"Melee Weapon Attack: +16 to hit, reach 10 ft., one target. 16 (2d6 + 9) slashing damage.",2,action
136,17,Tail,"Melee Weapon Attack: +16 to hit, reach 20 ft., one target. 18 (2d8 + 9) bludgeoning damage.",3,action
137,17,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 20 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
138,17,Breath Weapons {@recharge 5},"The dragon uses one of the following breath weapons.
- Lightning Breath: 
- Repulsion Breath: ",5,action
139,17,Change Shape,"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.",6,action
140,17,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
141,17,Tail Attack,The dragon makes a tail attack.,1,legendary
142,17,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a DC 24 Dexterity saving throw or take 16 (2d6 + 9) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
143,18,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
144,18,Bite,"Melee Weapon Attack: +15 to hit, reach 15 ft., one target. 19 (2d10 + 8) piercing damage.",1,action
145,18,Claw,"Melee Weapon Attack: +15 to hit, reach 10 ft., one target. 15 (2d6 + 8) slashing damage.",2,action
146,18,Tail,"Melee Weapon Attack: +15 to hit, reach 20 ft., one target. 17 (2d8 + 8) bludgeoning damage.",3,action
147,18,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
148,18,Breath Weapons {@recharge 5},"The dragon uses one of the following breath weapons.
- Acid Breath: 
- Slowing Breath: ",5,action
149,18,Change Shape,"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.",6,action
150,18,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
151,18,Tail Attack,The dragon makes a tail attack.,1,legendary
152,18,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a DC 23 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
153,19,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
154,19,Bite,"Melee Weapon Attack: +17 to hit, reach 15 ft., one target. 21 (2d10 + 10) piercing damage.",1,action
155,19,Claw,"Melee Weapon Attack: +17 to hit, reach 10 ft., one target. 17 (2d6 + 10) slashing damage.",2,action
156,19,Tail,"Melee Weapon Attack: +17 to hit, reach 20 ft., one target. 19 (2d8 + 10) bludgeoning damage.",3,action
157,19,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 24 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
158,19,Breath Weapons {@recharge 5},"The dragon uses one of the following breath weapons.
- Fire Breath: 
- Weakening Breath: ",5,action
159,19,Change Shape,"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.",6,action
160,19,Detect,The dragon makes a Wisdom (Perception) check.,0,legendary
161,19,Tail Attack,The dragon makes a tail attack.,1,legendary
162,19,Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a DC 25 Dexterity saving throw or take 17 (2d6 + 10) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,2,legendary
163,20,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,0,action
164,20,Bite,"Melee Weapon Attack: +15 to hit, reach 15 ft., one target. 19 (2d10 + 8) piercing damage plus 10 (3d6) poison damage.",1,action
165,20,Claw,"Melee Weapon Attack: +15 to hit, reach 10 ft., one target. 22 (4d6 + 8) slashing damage.",2,action
166,20,Tail,"Melee Weapon Attack: +15 to hit, reach 20 ft., one target. 17 (2d8 + 8) bludgeoning damage.",3,action
167,20,Frightful Presence,"Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",4,action
